epoch,train_loss,train_accuracy,model_internal,model,fold,history_file
4,0.4203259523903451,0.9980487804878048,MobileNetV3_Small,MobileNetV3-Small,2,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_02/history.csv
5,0.4150094020657423,0.9960975609756098,MobileNetV3_Small,MobileNetV3-Small,2,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_02/history.csv
6,0.415026277129243,0.9980487804878048,MobileNetV3_Small,MobileNetV3-Small,2,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_02/history.csv
7,0.406536012509974,0.9985365853658535,MobileNetV3_Small,MobileNetV3-Small,2,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_02/history.csv
8,0.4031688690767055,1.0,MobileNetV3_Small,MobileNetV3-Small,2,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_02/history.csv
9,0.4038096745421247,0.9990243902439024,MobileNetV3_Small,MobileNetV3-Small,2,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_02/history.csv
10,0.4055913982740263,1.0,MobileNetV3_Small,MobileNetV3-Small,2,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_02/history.csv
1,0.6796136799672755,0.88,MobileNetV3_Small,MobileNetV3-Small,3,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_03/history.csv
2,0.4408833642703731,0.9917073170731708,MobileNetV3_Small,MobileNetV3-Small,3,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_03/history.csv
3,0.4220878073645801,0.9960975609756098,MobileNetV3_Small,MobileNetV3-Small,3,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_03/history.csv
4,0.4149839514639319,0.9990243902439024,MobileNetV3_Small,MobileNetV3-Small,3,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_03/history.csv
5,0.4150809297910551,0.997560975609756,MobileNetV3_Small,MobileNetV3-Small,3,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_03/history.csv
